event_id,event_starttime,eventtype,nuc_rupturevel
1,36.645495,3,NaN
2,40.942166,2,28.8145516094172
3,42.420369,1,-160.971000796935
4,43.575068,1,-99.1327551169918
5,47.621651,1,-230.911966945888
6,49.135314,1,-112.11341559431
7,54.481607,1,-133.681806496731
8,56.681489,1,-125.818259606495
9,59.05778,1,-115.564673941683
10,63.686706,2,40.4193963863263
11,66.093929,1,-172.723395057303
12,68.443896,1,-114.750792399336
13,71.274489,1,-133.177950188494
14,75.895573,2,12.4779103072633
15,79.273316,3,NaN
16,82.171329,2,13.4876797397784
17,85.945794,1,-177.290031840305
18,91.181303,2,12.3219503474347
19,94.35567,3,NaN
20,97.267018,2,4.25516825644481
21,100.55402,3,NaN
22,105.878649,2,19.915398660008
23,108.88775,3,NaN
24,111.755949,2,17.156688373311
25,116.196146,1,-191.392778745665
26,120.726884,1,-109.430383399957
27,123.846744,1,-135.599871596599
28,126.724996,2,14.1689833332426
29,130.692063,1,-192.430987036175
30,135.319866,2,19.4596711753744
31,138.492698,3,NaN
32,141.967194,2,24.6375610597164
33,146.495298,1,-181.635803556678
34,151.614625,2,24.3604857031097
35,161.055791,3,NaN
36,163.973556,2,11.8729316318819
37,167.243858,1,-194.085328408734
38,172.168579,2,37.3295410052767
39,175.343256,3,NaN
40,178.872443,2,36.4389119284241
41,186.214252,3,NaN
42,190.086495,2,34.3583061452785
43,193.731041,1,-196.873216608268
44,197.558501,2,47.6975724687428
45,207.382352,1,-211.366528947534
46,211.020943,2,36.923107237129
47,215.364923,1,-202.443825111282
48,220.202232,2,56.2056275826319
49,225.83906,1,-216.086508893133
50,228.715161,2,36.0356888777277
51,232.159425,1,-186.996670691699
52,235.564655,2,49.5627004685927
53,241.431471,1,-203.211053662026
54,245.011447,2,52.6152960271435
55,248.860435,1,-198.682475065426
56,253.026768,3,NaN
